;stop_id;stop_code;stop_name;stop_lat;stop_lon;zone_id;location_type
124;441;NA;Alto Molinao;43.31255091;-1.924008955;1;0
125;200;NA;Madrid 17;43.30358806;-1.975604919;1;0
126;321;NA;Askatasuna 20;43.31984898;-1.981535038;1;0
127;201;NA;Madrid 3;43.30530542;-1.97733922;1;0
128;322;NA;Gantxegi;43.30899751;-1.996685376;1;0
129;443;NA;Ubarburu 32;43.30104285;-1.946206501;1;0
130;202;NA;SanchoSabio 33;43.30835928;-1.979507467;1;0
131;323;NA;Portuene 20 I;43.30991885;-1.997015476;1;0
132;444;NA;Ubarburu 44;43.29967557;-1.944405498;1;0
133;203;NA;P.Bizkaia-PuenteMundaiz;43.31082293;-1.979108651;1;0
134;324;NA;Portuene 49;43.30933346;-1.995977012;1;0
135;445;NA;Ubarburu 54;43.29637457;-1.942847659;1;0
136;566;NA;Pinos 7;43.30605907;-1.998398235;1;0
137;204;NA;Gernikako Arbola;43.31390463;-1.979353015;1;0
138;325;NA;Dr. Marañón;43.30822186;-1.99449102;1;0
139;446;NA;Ubarburu 55;43.29737982;-1.941523469;1;0
140;567;NA;Gurutze Alde I;43.30513687;-2.000028559;1;0
141;205;NA;Maria Cristina pte./zubia;43.31777253;-1.978905972;1;0
142;326;NA;Muntomar;43.30819763;-1.996858827;1;0
143;447;NA;Ubarburu 37;43.29967193;-1.944011048;1;0
144;568;NA;Lazkano 57 II;43.30830662;-1.98980412;1;0
145;206;NA;Groseko Anbulatorioa;43.3254402;-1.970415268;1;0
146;327;NA;Pinu bidea;43.30720661;-1.997824539;1;0
147;569;NA;Aieteko Jauregia II;43.30453817;-1.992344761;1;0
148;448;NA;Ubarburu 13;43.30260618;-1.948768608;1;0
149;328;NA;Gurutze H.153;43.30783824;-2.000033592;1;0
150;207;NA;Askatasuna 18;43.31997261;-1.981261655;1;0
151;208;NA;Urbieta 6;43.31834742;-1.983804598;1;0
152;329;NA;Itxas Aurre;43.3087805;-2.000696314;1;0
153;209;NA;P.M.Collado;43.30694263;-1.981195717;1;0
154;570;NA;Puente Mundaiz;43.31226153;-1.977863793;1;0
155;571;NA;Arriola 87;43.31204807;-2.016155207;1;0
156;330;NA;Apaizgaitegia/Seminario H.82;43.31078023;-2.002846095;1;0
157;572;NA;Arriola 32 igerilekuak;43.3114404;-2.015647112;1;0
158;452;NA;Okendo 18;43.32144603;-1.980891712;1;0
159;331;NA;Avanco;43.30856067;-2.004399013;1;0
160;210;NA;Salaberria 27;43.30534392;-1.980642925;1;0
161;573;NA;Pakea;43.3111102;-2.013901462;1;0
162;332;NA;Apaizgaitegia/Seminario;43.31069684;-2.002576182;1;0
163;211;NA;Mutualidades;43.30285489;-1.980216009;1;0
164;574;NA;Arriola 15;43.3101935;-2.012017363;1;0
165;333;NA;Itxas Aurre H.112;43.30889872;-2.000830012;1;0
166;212;NA;Errondo Barkaiztegi;43.30552266;-1.982514053;1;0
167;334;NA;Gurutze H.128;43.30744539;-1.999386538;1;0
168;213;NA;Lizarra;43.3148588;-1.985391855;1;0
169;576;NA;Julianategi-Universidad;43.30992133;-2.01073939;1;0
170;335;NA;Begi Urdinak;43.30729426;-1.997551837;1;0
171;214;NA;Errondo;43.30596381;-1.982506694;1;0
172;577;NA;Tontorgoxo;43.31066103;-2.011935805;1;0
173;336;NA;Donosti Zahar;43.30892615;-1.995737109;1;0
174;215;NA;Alto Errondo 32;43.30072444;-1.979610527;1;0
175;578;NA;Arriola 26;43.3111924;-2.014035772;1;0
176;337;NA;Portuene 20 II;43.30991799;-1.996916845;1;0
177;216;NA;Azkaratene;43.30101571;-1.987052246;1;0
178;579;NA;Arriola 32;43.31156793;-2.015817687;1;0
179;458;NA;Arroka plaza;43.31380253;-1.983054136;1;0
180;338;NA;Portuene 21;43.30929569;-1.996803775;1;0
181;459;NA;San Roque 2;43.31334606;-1.985392362;1;0
182;217;NA;Alto Miracruz II;43.321276;-1.948187742;1;0
183;339;NA;P.Baroja 4;43.31385627;-1.999355338;1;0
184;218;NA;Bera Bera 133;43.30321851;-1.992798082;1;0
185;219;NA;Bera Bera 89;43.3049815;-1.994630742;1;0
186;580;NA;Arriola 89;43.31201152;-2.016094141;1;0
187;460;NA;Aldapa 24;43.31556599;-1.968818571;1;0
188;581;NA;Montesol Eguzkimendi;43.31944953;-1.944433172;1;0
189;340;NA;P.Baroja 10;43.3113238;-1.996018231;1;0
190;582;NA;Ibaeta Diario Vasco;43.30381469;-2.008471188;1;0
191;461;NA;San Roque 18;43.31263427;-1.985342548;1;0
192;341;NA;Larramendi;43.31508229;-1.982169579;1;0
193;220;NA;Bera Bera 85;43.30444822;-1.996451966;1;0
194;462;NA;Beloka 1;43.31225049;-1.986742344;1;0
195;100;NA;Frantziskotarrak;43.31744715;-1.974743167;1;0
196;221;NA;Bera Bera 57;43.30215844;-1.998203369;1;0
197;463;NA;Beloka 15;43.31335689;-1.988647642;1;0
198;584;NA;Morlans 51;43.30646417;-1.988157769;1;0
199;101;NA;Duque de Mandas 3;43.32007062;-1.974094751;1;0
200;222;NA;Bera Bera 47;43.3015083;-1.996968826;1;0
201;585;NA;Tranbia 1;43.29731082;-1.954580055;1;0
202;464;NA;Beloka 23;43.31196261;-1.988806406;1;0
203;102;NA;Boulevard 3;43.32264926;-1.982536575;1;0
204;344;NA;Pio Baroja 15;43.31126783;-1.995797196;1;0
205;223;NA;Bera Bera 31;43.30055098;-1.994592797;1;0
206;586;NA;Campo futbol zelaia;43.29735516;-1.954505327;1;0
207;465;NA;Lazkano 2;43.31041712;-1.98917729;1;0
208;103;NA;Askatasuna  21;43.31949325;-1.982034281;1;0
209;345;NA;P. Baroja 5;43.31405423;-1.999339759;1;0
210;224;NA;Bera Bera 2;43.30154022;-1.991383309;1;0
211;587;NA;Txingurri 40;43.31566897;-1.941649987;1;0
212;466;NA;Txingurri;43.31813697;-1.93882006;1;0
213;225;NA;Askatasuna 31;43.31902881;-1.983472598;1;0
214;104;NA;Pinudi/Pinares M.16;43.32194912;-1.97471679;1;0
215;588;NA;Arzak Enea;43.28329471;-2.001360111;1;0
216;467;NA;Lazkano 57;43.30832561;-1.989914778;1;0
217;105;NA;Euskal Herria/Vasconia;43.32225643;-1.971838012;1;0
218;226;NA;Aiete 53;43.30735788;-1.99249546;1;0
219;347;NA;Pio XII;43.30742692;-1.979966949;1;0
220;468;NA;Lazkano 41;43.30949819;-1.990141969;1;0
221;589;NA;Aldunaene;43.30861697;-1.976099985;1;0
222;106;NA;Jai Alai;43.32199691;-1.967020173;1;0
223;227;NA;Iza;43.30998265;-1.990960098;1;0
224;348;NA;Melodi Lugaritz;43.30726477;-1.990104967;1;0
225;469;NA;San Roque 65;43.31158857;-1.988257715;1;0
226;107;NA;Erlojua/Reloj;43.32164713;-1.960218306;1;0
227;228;NA;Aiete 1;43.31077238;-1.989639971;1;0
228;349;NA;Unibertsitatea Tol.95;43.30735336;-2.008462985;1;0
229;108;NA;Intxaurrondo Zaharra;43.32135839;-1.953242809;1;0
230;229;NA;Marianistak;43.31443251;-1.987076033;1;0
231;109;NA;Mirakruz Gaina /Alto Miracruz;43.32124662;-1.949890186;1;0
232;590;NA;Mikeletegi-Miramon;43.28798165;-1.982473709;1;0
233;591;NA;Cocheras Mons;43.31888635;-1.960610697;1;0
234;470;NA;San Roque 58;43.31179578;-1.985220859;1;0
235;350;NA;Zumalakarregi 9;43.31477096;-2.002016281;1;0
236;471;NA;San Roque 13;43.31208601;-1.98342803;1;0
237;351;NA;Zumalakarregi 8;43.31490697;-2.002125039;1;0
238;230;NA;Katalina Eleizegi 2;43.30645773;-1.987430412;1;0
239;472;NA;San Roque 7;43.31284939;-1.984216831;1;0
240;593;NA;Balleneros 8;43.30577664;-1.974655763;1;0
241;110;NA;Elosegi 111;43.3204932;-1.943366821;1;0
242;352;NA;Melodi Parkea;43.30740696;-1.989893001;1;0
243;231;NA;Katalina Eleizegi 34;43.30479652;-1.98795117;1;0
244;594;NA;Aldakonea Gaina;43.3195794;-1.972536783;1;0
245;473;NA;Plaza Easo;43.31401894;-1.982076345;1;0
246;111;NA;Herrera Euskotren;43.31978744;-1.938137706;1;0
247;595;NA;Igeldo Pasealekua 72;43.3139477;-2.009860201;1;0
248;353;NA;Añorga Txiki I;43.28943569;-1.998264308;1;0
249;232;NA;Katalina Eleizegi 48;43.30316865;-1.987152119;1;0
250;112;NA;Herrera 20;43.31943021;-1.936516038;1;0
251;596;NA;Andoain 17;43.30054012;-1.991313543;1;0
252;354;NA;Añorga I;43.28513185;-2.000356335;1;0
253;233;NA;Sierra Aralar;43.31091048;-1.965802263;1;0
254;475;NA;Nazaret;43.32009426;-1.971714152;1;0
255;113;NA;Herrera 42;43.31986122;-1.933487034;1;0
256;597;NA;Pagola;43.29991892;-1.993370356;1;0
257;355;NA;Karmengo Ama;43.28080303;-2.004753192;1;0
258;234;NA;Alto Errondo 107;43.30089954;-1.987152805;1;0
259;476;NA;Euskadi Etorbidea-Azoka;43.32282319;-1.933435216;1;0
260;114;NA;Erroteta Behekoa;43.31853692;-1.931487699;1;0
261;356;NA;Errotazar-Amasorrain;43.28004846;-2.007033211;1;0
262;235;NA;Alto Errondo 91;43.30093764;-1.984341211;1;0
263;477;NA;Ricardo Arrillaga 6;43.32374409;-1.929842424;1;0
264;598;NA;Ilunbe;43.29714897;-1.968488819;1;0
265;115;NA;Santa Barbara;43.3175173;-1.93029702;1;0
266;599;NA;Arzak Enea II;43.2831541;-2.001756818;1;0
267;236;NA;Alto Errondo 55;43.30202517;-1.983102535;1;0
268;478;NA;Gran Sol 3;43.32456336;-1.929828041;1;0
269;357;NA;Caserío Parada;43.32092121;-1.948773506;1;0
270;116;NA;Nerecan;43.31667982;-1.934146948;1;0
271;358;NA;Irubide;43.28026952;-2.016987899;1;0
272;237;NA;Alto Errondo 27;43.30090978;-1.980199208;1;0
273;479;NA;Borda Enea 2;43.32544065;-1.932168379;1;0
274;117;NA;San Martzial;43.31411835;-1.934660315;1;0
275;238;NA;Boulevard 19;43.32204241;-1.984162332;1;0
276;359;NA;Caserio Parada 28;43.32001728;-1.948394448;1;0
277;239;NA;Zumalakarregi 10;43.31481877;-2.00233612;1;0
278;118;NA;Martillun;43.31284355;-1.936039015;1;0
279;119;NA;Larratxo 46;43.31353596;-1.937876631;1;0
280;10;NA;Loiola 12;43.30872377;-1.966949074;1;0
281;11;NA;Hipika 12;43.30673508;-1.966095;1;0
282;13;NA;Felisa Martin Bravo;43.30394872;-1.95870761;1;0
283;14;NA;Rotonda Polígono 27;43.30194666;-1.952454007;1;0
284;15;NA;Renfe Martutene;43.2990178;-1.95612884;1;0
285;16;NA;Ibai Alde;43.29533792;-1.954478252;1;0
286;17;NA;Easo 19;43.31717867;-1.984009058;1;0
287;18;NA;Larrun Mendi;43.29445978;-1.953963217;1;0
288;19;NA;Martutene 53;43.29915161;-1.955990938;1;0
289;480;NA;Oiartzun 8;43.32463561;-1.934673861;1;0
290;360;NA;Rotonda Belartza;43.28093069;-2.010124697;1;0
291;481;NA;Ulia 22;43.32557221;-1.937592923;1;0
292;240;NA;Antig Anbul;43.31346428;-2.004997181;1;0
293;361;NA;Belartza;43.28107376;-2.015224832;1;0
294;241;NA;Majisteritza Tol 14;43.31148087;-2.008864456;1;0
295;120;NA;Larratxo I;43.31221748;-1.939403982;1;0
296;362;NA;Errekalde;43.27848212;-2.007083334;1;0
297;121;NA;Bianka;43.31337299;-1.937780819;1;0
298;242;NA;Unibertsitatea Elhuyar;43.30834684;-2.01088823;1;0
299;363;NA;Río Deba Ibaia 25;43.31608338;-1.970277309;1;0
300;122;NA;Lauaizeta 33;43.3130212;-1.93577696;1;0
301;364;NA;Añorga II;43.28560919;-1.999337812;1;0
302;243;NA;Elhuyar Plaza;43.30813795;-2.010682004;1;0
303;123;NA;Altza 55;43.31412528;-1.934438228;1;0
304;365;NA;Añorga Txiki II;43.28920727;-1.997885938;1;0
305;244;NA;Berio 22;43.30690428;-2.015892939;1;0
306;124;NA;Larratxo 94;43.31651501;-1.933853863;1;0
307;366;NA;Garbera;43.30815604;-1.948130429;1;0
308;245;NA;Berio 19;43.30714692;-2.014791651;1;0
309;487;NA;Jai Alai  8;43.32067337;-1.96802922;1;0
310;125;NA;Arri Berri;43.31787846;-1.929439762;1;0
311;246;NA;Aspace;43.30527386;-2.016868627;1;0
312;367;NA;Otxoki;43.31087015;-1.954433968;1;0
313;488;NA;Aldapabide  14;43.32024389;-1.967333528;1;0
314;126;NA;Arria Parkea;43.3185876;-1.931129173;1;0
315;368;NA;Baratzategi 2;43.31390177;-1.959055587;1;0
316;247;NA;Berio 45;43.3054713;-2.016791467;1;0
317;489;NA;Aldakonea 69;43.31947508;-1.967950843;1;0
318;369;NA;Zarategi 71;43.31632112;-1.953810232;1;0
319;127;NA;Pikabea;43.31922535;-1.933855799;1;0
320;248;NA;Berio 78;43.303414;-2.015246477;1;0
321;128;NA;RENFE Herrera;43.3193794;-1.936862234;1;0
322;249;NA;Portuetxe 2;43.30314942;-2.008592964;1;0
323;129;NA;Herrera;43.31973823;-1.938656531;1;0
324;20;NA;Kartzela;43.30206306;-1.957309633;1;0
325;21;NA;Antzieta 31;43.3037597;-1.960695861;1;0
326;22;NA;Txomin Enea;43.30475687;-1.96341603;1;0
327;23;NA;Patxillardegi;43.3084859;-1.966533872;1;0
328;24;NA;Loiola-Topo;43.31035978;-1.967636542;1;0
329;25;NA;Zurriola;43.32513316;-1.975329254;1;0
330;26;NA;Madrid 19;43.30344258;-1.975447082;1;0
331;27;NA;Madrid 5;43.30510526;-1.977108313;1;0
332;28;NA;SanchoSabio 35;43.30821501;-1.97948522;1;0
333;29;NA;SanchoSabio11;43.3103706;-1.979880725;1;0
334;490;NA;Aldakonea-Alai Ondo;43.31944552;-1.969665563;1;0
335;491;NA;Konkorrenea-Parrokia;43.31920732;-1.970212217;1;0
336;370;NA;Caserio Parada 70;43.3201735;-1.945801895;1;0
337;250;NA;Portuetxe 9;43.30307579;-2.008409222;1;0
338;371;NA;Berio 91;43.3033358;-2.011401008;1;0
339;492;NA;Konkorrenea 23;43.31890553;-1.971697203;1;0
340;130;NA;Gaiztarro;43.3207838;-1.943633105;1;0
341;251;NA;Portuetxe 10;43.30204637;-2.010152015;1;0
342;493;NA;Aldakonea Zuhaizti;43.32080555;-1.9737124;1;0
343;494;NA;Euskadi Plaza;43.32113414;-1.977221733;1;0
344;131;NA;Mirakruz Gaina/Alto Miracruz;43.3214025;-1.950195824;1;0
345;373;NA;Berio 118;43.30321716;-2.011217992;1;0
346;252;NA;Portuetxe 21;43.30191079;-2.01009257;1;0
347;495;NA;Askatasuna19;43.31976587;-1.981302107;1;0
348;132;NA;Ulia;43.32150458;-1.953474625;1;0
349;374;NA;Polloe;43.31845901;-1.965119277;1;0
350;253;NA;Portuetxe 18;43.30206049;-2.012827181;1;0
351;133;NA;Toki Eder;43.32178221;-1.959229363;1;0
352;375;NA;Aitzgorri;43.3089509;-2.003714471;1;0
353;496;NA;Errondo-Morlans;43.30778628;-1.981896775;1;0
354;254;NA;Portuetxe 35;43.30196865;-2.012619075;1;0
355;134;NA;Jesuitak;43.32330569;-1.967367995;1;0
356;497;NA;Alto Errondo 49;43.30194929;-1.983683262;1;0
357;376;NA;Baratzategi 3;43.3140716;-1.958917042;1;0
358;255;NA;Errotazar;43.3014868;-2.016263897;1;0
359;135;NA;Mariaren Bihotza;43.3259388;-1.970789195;1;0
360;498;NA;Parking Loiola;43.31145538;-1.969307329;1;0
361;377;NA;Otxoki Parkea;43.31071777;-1.954510565;1;0
362;256;NA;Portuetxe 51;43.30136955;-2.01624113;1;0
363;136;NA;Kursaal;43.32475917;-1.976803238;1;0
364;499;NA;Ubarburu 14;43.30247658;-1.949362638;1;0
365;257;NA;Igara;43.30162146;-2.021464531;1;0
366;378;NA;Aldapabide 5;43.32097313;-1.967321175;1;0
367;137;NA;Escalerillas;43.32124335;-1.931070278;1;0
368;258;NA;Berio 73;43.30289423;-2.014490458;1;0
369;138;NA;Puerto Pasajes Escalerillas;43.32135576;-1.931536957;1;0
370;259;NA;Berio 63;43.30368739;-2.015624273;1;0
371;139;NA;Casares 57;43.32114672;-1.923647597;1;0
372;30;NA;Easo Plaza;43.31378047;-1.981587071;1;0
373;32;NA;Okendo 11;43.32064849;-1.980313071;1;0
374;34;NA;Boulevard 17;43.32214825;-1.983913907;1;0
